id,primary_api,secondary_api,conv_len,n_tool_calls,max_tool_calls_per_turn,has_risky_state_update_api
multi_turn_base_0,GorillaFileSystem,TwitterAPI,medium,high,medium,False
multi_turn_base_1,GorillaFileSystem,,medium,medium,low,False
multi_turn_base_2,GorillaFileSystem,TicketAPI,medium,high,medium,False
multi_turn_base_3,GorillaFileSystem,,short,medium,medium,False
multi_turn_base_4,GorillaFileSystem,TwitterAPI,medium,low,low,False
multi_turn_base_5,GorillaFileSystem,TwitterAPI,medium,medium,low,False
multi_turn_base_6,GorillaFileSystem,,medium,high,medium,False
multi_turn_base_7,GorillaFileSystem,TwitterAPI,medium,low,low,False
multi_turn_base_8,GorillaFileSystem,TwitterAPI,medium,medium,low,False
multi_turn_base_9,GorillaFileSystem,,medium,medium,medium,False
multi_turn_base_10,GorillaFileSystem,,medium,high,medium,False
multi_turn_base_11,GorillaFileSystem,TwitterAPI,short,low,low,False
multi_turn_base_12,GorillaFileSystem,,medium,low,low,False
multi_turn_base_13,GorillaFileSystem,TwitterAPI,short,low,low,False
multi_turn_base_14,GorillaFileSystem,MessageAPI,medium,medium,medium,False
multi_turn_base_15,GorillaFileSystem,MathAPI,medium,medium,medium,False
multi_turn_base_16,GorillaFileSystem,,medium,medium,medium,False
multi_turn_base_17,GorillaFileSystem,MessageAPI,medium,medium,medium,False
multi_turn_base_18,GorillaFileSystem,TwitterAPI,medium,high,medium,False
multi_turn_base_19,GorillaFileSystem,MessageAPI,medium,medium,medium,False
multi_turn_base_20,GorillaFileSystem,TwitterAPI,short,low,low,False
multi_turn_base_21,GorillaFileSystem,TwitterAPI,medium,low,low,False
multi_turn_base_22,GorillaFileSystem,TwitterAPI,medium,medium,low,False
multi_turn_base_23,GorillaFileSystem,TicketAPI,medium,low,low,True
multi_turn_base_24,GorillaFileSystem,TicketAPI,medium,medium,medium,False
multi_turn_base_25,GorillaFileSystem,,medium,medium,low,False
multi_turn_base_26,GorillaFileSystem,,medium,medium,low,False
multi_turn_base_27,GorillaFileSystem,TicketAPI,medium,medium,low,True
multi_turn_base_28,GorillaFileSystem,MathAPI,medium,medium,medium,False
multi_turn_base_29,GorillaFileSystem,,medium,low,low,False
multi_turn_base_30,GorillaFileSystem,TwitterAPI,short,low,low,False
multi_turn_base_31,GorillaFileSystem,MathAPI,short,high,medium,False
multi_turn_base_32,GorillaFileSystem,MathAPI,short,medium,medium,False
multi_turn_base_33,GorillaFileSystem,MessageAPI,medium,medium,low,False
multi_turn_base_34,GorillaFileSystem,MathAPI,short,medium,medium,False
multi_turn_base_35,GorillaFileSystem,MathAPI,medium,medium,medium,False
multi_turn_base_36,GorillaFileSystem,MathAPI,medium,medium,medium,False
multi_turn_base_37,GorillaFileSystem,,medium,low,low,False
multi_turn_base_38,GorillaFileSystem,,short,medium,medium,False
multi_turn_base_39,GorillaFileSystem,,medium,high,high,False
multi_turn_base_40,GorillaFileSystem,MessageAPI,medium,medium,low,False
multi_turn_base_41,GorillaFileSystem,MessageAPI,short,medium,medium,False
multi_turn_base_42,GorillaFileSystem,MathAPI,medium,low,low,False
multi_turn_base_43,GorillaFileSystem,MessageAPI,medium,medium,low,False
multi_turn_base_44,GorillaFileSystem,MathAPI,medium,medium,low,False
multi_turn_base_45,GorillaFileSystem,MathAPI,short,low,low,False
multi_turn_base_46,GorillaFileSystem,MessageAPI,short,low,medium,False
multi_turn_base_47,GorillaFileSystem,MathAPI,medium,low,low,False
multi_turn_base_48,GorillaFileSystem,TicketAPI,medium,medium,low,False
multi_turn_base_49,GorillaFileSystem,MathAPI,medium,medium,low,False
multi_turn_base_50,VehicleControlAPI,,short,low,low,False
multi_turn_base_51,VehicleControlAPI,MessageAPI,medium,medium,low,False
multi_turn_base_52,VehicleControlAPI,TwitterAPI,medium,medium,low,False
multi_turn_base_53,VehicleControlAPI,TwitterAPI,medium,medium,medium,False
multi_turn_base_54,VehicleControlAPI,TwitterAPI,medium,medium,medium,False
multi_turn_base_55,VehicleControlAPI,TicketAPI,medium,high,medium,False
multi_turn_base_56,VehicleControlAPI,,medium,high,medium,False
multi_turn_base_57,VehicleControlAPI,MathAPI,short,low,medium,False
multi_turn_base_58,VehicleControlAPI,TwitterAPI,medium,high,medium,False
multi_turn_base_59,VehicleControlAPI,MathAPI,medium,high,medium,False
multi_turn_base_60,VehicleControlAPI,TicketAPI,medium,medium,medium,False
multi_turn_base_61,VehicleControlAPI,MessageAPI,medium,high,medium,False
multi_turn_base_62,VehicleControlAPI,MessageAPI,medium,high,medium,False
multi_turn_base_63,VehicleControlAPI,MessageAPI,medium,high,medium,False
multi_turn_base_64,VehicleControlAPI,,short,medium,medium,False
multi_turn_base_65,VehicleControlAPI,TwitterAPI,short,high,high,False
multi_turn_base_66,VehicleControlAPI,,medium,medium,medium,False
multi_turn_base_67,VehicleControlAPI,MessageAPI,medium,high,medium,False
multi_turn_base_68,VehicleControlAPI,TwitterAPI,medium,high,medium,False
multi_turn_base_69,VehicleControlAPI,TwitterAPI,short,high,medium,False
multi_turn_base_70,VehicleControlAPI,,short,high,high,False
multi_turn_base_71,VehicleControlAPI,,medium,high,medium,False
multi_turn_base_72,VehicleControlAPI,MessageAPI,medium,high,medium,False
multi_turn_base_73,VehicleControlAPI,,medium,medium,medium,False
multi_turn_base_74,VehicleControlAPI,MathAPI,short,medium,medium,False
multi_turn_base_75,VehicleControlAPI,TwitterAPI,medium,medium,low,False
multi_turn_base_76,VehicleControlAPI,TwitterAPI,short,low,medium,False
multi_turn_base_77,VehicleControlAPI,TwitterAPI,medium,medium,medium,False
multi_turn_base_78,VehicleControlAPI,TwitterAPI,short,low,low,False
multi_turn_base_79,VehicleControlAPI,,medium,medium,medium,False
multi_turn_base_80,VehicleControlAPI,MathAPI,medium,high,medium,False
multi_turn_base_81,VehicleControlAPI,MathAPI,medium,high,medium,False
multi_turn_base_82,VehicleControlAPI,,medium,high,medium,False
multi_turn_base_83,VehicleControlAPI,,medium,medium,medium,False
multi_turn_base_84,VehicleControlAPI,,short,medium,medium,False
multi_turn_base_85,VehicleControlAPI,,short,high,medium,False
multi_turn_base_86,VehicleControlAPI,TwitterAPI,medium,high,medium,False
multi_turn_base_87,VehicleControlAPI,,medium,high,medium,False
multi_turn_base_88,VehicleControlAPI,TwitterAPI,medium,medium,medium,False
multi_turn_base_89,VehicleControlAPI,,medium,high,medium,False
multi_turn_base_90,VehicleControlAPI,TwitterAPI,medium,high,medium,False
multi_turn_base_91,VehicleControlAPI,MessageAPI,short,low,low,False
multi_turn_base_92,VehicleControlAPI,,medium,high,medium,False
multi_turn_base_93,VehicleControlAPI,,medium,high,medium,False
multi_turn_base_94,VehicleControlAPI,,medium,medium,medium,False
multi_turn_base_95,VehicleControlAPI,MessageAPI,medium,medium,low,False
multi_turn_base_96,VehicleControlAPI,,short,medium,medium,False
multi_turn_base_97,VehicleControlAPI,MessageAPI,long,high,medium,False
multi_turn_base_98,VehicleControlAPI,MathAPI,medium,medium,medium,False
multi_turn_base_99,VehicleControlAPI,,medium,high,medium,False
multi_turn_base_100,TradingBot,,short,low,low,False
multi_turn_base_101,TradingBot,MessageAPI,medium,medium,low,False
multi_turn_base_102,TradingBot,TicketAPI,long,medium,low,True
multi_turn_base_103,TradingBot,MessageAPI,medium,medium,low,False
multi_turn_base_104,TradingBot,,short,low,low,False
multi_turn_base_105,TradingBot,,short,medium,medium,False
multi_turn_base_106,TradingBot,TicketAPI,medium,medium,low,False
multi_turn_base_107,TradingBot,,medium,medium,low,True
multi_turn_base_108,TradingBot,MessageAPI,medium,medium,low,True
multi_turn_base_109,TradingBot,TwitterAPI,long,medium,low,True
multi_turn_base_110,TradingBot,TicketAPI,long,high,low,True
multi_turn_base_111,TradingBot,MessageAPI,medium,low,low,False
multi_turn_base_112,TradingBot,MathAPI,medium,medium,low,True
multi_turn_base_113,TradingBot,MessageAPI,short,low,medium,False
multi_turn_base_114,TradingBot,MessageAPI,medium,medium,low,False
multi_turn_base_115,TradingBot,,medium,medium,low,False
multi_turn_base_116,TradingBot,,long,medium,low,True
multi_turn_base_117,TradingBot,,long,medium,low,True
multi_turn_base_118,TradingBot,,medium,medium,low,True
multi_turn_base_119,TradingBot,TicketAPI,medium,low,low,True
multi_turn_base_120,TradingBot,,medium,medium,low,True
multi_turn_base_121,TradingBot,,medium,medium,low,True
multi_turn_base_122,TradingBot,,medium,medium,low,True
multi_turn_base_123,TradingBot,,medium,medium,medium,True
multi_turn_base_124,TradingBot,MathAPI,medium,medium,low,True
multi_turn_base_125,TradingBot,TicketAPI,medium,medium,low,False
multi_turn_base_126,TradingBot,,medium,medium,low,True
multi_turn_base_127,TradingBot,,medium,medium,low,True
multi_turn_base_128,TradingBot,,medium,medium,low,True
multi_turn_base_129,TradingBot,TicketAPI,medium,medium,low,False
multi_turn_base_130,TradingBot,,long,medium,low,True
multi_turn_base_131,TradingBot,MessageAPI,long,medium,low,False
multi_turn_base_132,TradingBot,,medium,medium,low,True
multi_turn_base_133,TradingBot,TicketAPI,short,low,low,False
multi_turn_base_134,TradingBot,MathAPI,medium,medium,low,True
multi_turn_base_135,TradingBot,,medium,medium,low,False
multi_turn_base_136,TradingBot,MathAPI,medium,medium,low,True
multi_turn_base_137,TradingBot,MessageAPI,medium,low,low,False
multi_turn_base_138,TradingBot,MessageAPI,medium,medium,low,False
multi_turn_base_139,TradingBot,TwitterAPI,short,low,low,False
multi_turn_base_140,TradingBot,TicketAPI,medium,low,low,True
multi_turn_base_141,TradingBot,MessageAPI,medium,medium,low,True
multi_turn_base_142,TradingBot,,medium,medium,low,False
multi_turn_base_143,TradingBot,MessageAPI,medium,medium,medium,True
multi_turn_base_144,TradingBot,MathAPI,medium,low,low,False
multi_turn_base_145,TradingBot,MessageAPI,medium,medium,low,False
multi_turn_base_146,TradingBot,,medium,medium,low,True
multi_turn_base_147,TradingBot,TwitterAPI,short,low,low,False
multi_turn_base_148,TradingBot,TicketAPI,medium,medium,low,True
